Scientific Name,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,Common Name,Id,Symbol,RankId,AcceptedId,HasSynonyms,HasSubordinateTaxa,HasWildlife,HasWetlandData,HasImages,HasRelatedLinks,HasLegalStatuses,HasNoxiousStatuses,HasDocumentation,HasDistributionData,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,HasCharacteristics,PlantLocationId,HasEthnobotany,HasPollinator,ScientificSort,Active Growth Period,Coppice Potential,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height at 20 Years, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Vegetative Spread Rate,Nursery Stock Product
Callitriche terrestris,FACW,,,FACW,FACW,,FACW,FACW,,,Terrestrial Water-Starwort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitriche trochlearis,,OBL,,,,,,,OBL,,Effluent Water-Starwort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitropsis nootkatensis,,FAC,,,,,,,FAC,FAC,Alaska-Cedar,15013.0,CANO9,0.0,15013.0,False,False,False,False,False,False,False,False,False,False,9.0,chno_001_thp.jpg,0.0,False,False,0.0,False,False,Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little,Spring and Summer,Yes,No,Yellow,No,Green,Dense,Dense,Fine,Brown,No,Single Stem,Slow,25.0,75.0,No,Yes,Long,No,Yes,Erect,,Yes,Yes,Yes,Low,Yes,Low,Low,111.0,,Medium,7.0,5.5,100.0,45.0,24.0,,Tolerant,-22.0,Mid Spring,Contracting Only,Medium,Fall,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,,Yes
Calluna vulgaris,FAC,,,FAC,,,FAC,FAC,FAC,,Heather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus excavatus,,FACU,,,,,,,FACU,,Inyo Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus longebarbatus,,FAC,,,,,,,FAC,,Long-Beard Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus minimus,,FAC,,,,,,,FAC,,Sierran Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus monanthus,,FAC,,,,,,,FAC,,Shasta River Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus nudus,,FAC,,,,,,,FAC,,Naked Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus palmeri,,FACW,,,,,,,FACW,,Palmer's Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus striatus,,FACW,,,,,,,FACW,,Alkali Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus uniflorus,,FACW,,,,,,,FACW,,Monterey Mariposa-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum antillanum,FACW,,FAC,,,,,,,,West Indian-Laurel,68373.0,CAAN22,0.0,68373.0,False,False,False,False,False,False,False,False,False,False,1.0,caan22_001_thp.jpg,0.0,False,False,0.0,False,False,Calophyllum antillanum Britton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum inophyllum,UPL,,UPL,,,FAC,,,,,Alexandrian-Laurel,68378.0,CAIN4,0.0,68378.0,False,False,False,False,False,False,False,False,False,False,2.0,cain4_001_thp.jpg,0.0,False,False,0.0,False,False,Calophyllum inophyllum L.,,No,Yes,White,Yes,Green,Porous,Porous,Coarse,Brown,Yes,Single Crown,Slow,60.0,40.0,No,Yes,Moderate,No,No,Irregular,Slight,Yes,No,Yes,Low,No,High,Medium,365.0,Low,Medium,,,,,36.0,High,Intermediate,40.0,,Routinely Available,Medium,Summer,Winter,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,,Yes
Calopogon barbatus,FACW,,,FACW,,,,,,,Bearded Grass-Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calopogon multiflorus,FACW,,,,,,,,,,Many-Flower Grass-Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calopogon pallidus,OBL,,,OBL,,,,,,,Pale Grass-Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calopogon tuberosus,OBL,,,FACW,OBL,,OBL,OBL,,,Tuberous Grass-Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calopogonium caeruleum,,,FAC,,,,,,,,Jicama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calopogonium mucunoides,,,FACU,,,FAC,,,,,Calopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caltha leptosepala,,OBL,,,OBL,,,,OBL,OBL,White Marsh-Marigold,72690.0,CALE4,0.0,72690.0,False,False,False,False,False,False,False,False,False,False,9.0,cale4_001_tvp.jpg,0.0,False,False,0.0,False,False,Caltha leptosepala DC.,Spring and Summer,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Moderate,,1.0,No,No,Moderate,No,No,Semi-Erect,Slight,Yes,No,Yes,Medium,No,,Medium,80.0,,High,8.2,6.6,40.0,16.0,8.0,,Intolerant,-33.0,Late Spring,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,,No
Caltha natans,,,,,,,,OBL,,OBL,Floating Marsh-Marigold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caltha palustris,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Yellow Marsh-Marigold,72708.0,CAPA5,0.0,72708.0,False,False,False,False,False,False,False,False,False,False,11.0,capa5_002_thp.jpg,0.0,False,False,0.0,False,False,Caltha palustris L.,Spring,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Slow,,2.0,No,No,Moderate,No,No,Semi-Erect,,No,Yes,Yes,High,No,,Medium,80.0,,High,6.8,4.9,60.0,30.0,8.0,,Intolerant,-38.0,Mid Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,,No
Calycanthus floridus,FACU,,,FACU,,,FACU,FACU,,,Eastern Sweetshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calycanthus occidentalis,,FAC,,,,,,,FAC,,Western Sweetshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calycocarpum lyonii,FACW,,,FACW,FACW,,FACW,,,,Cupseed,72403.0,CALY2,0.0,72403.0,False,False,False,False,False,False,False,False,False,False,3.0,caly2_002_thp.jpg,0.0,False,False,0.0,False,False,Calycocarpum lyonii (Pursh) A. Gray,Spring and Summer,No,No,White,Yes,Green,Porous,Porous,Medium,Black,Yes,Single Crown,Rapid,,30.0,No,No,Long,No,Yes,Climbing,,No,No,Yes,Low,Yes,Low,High,185.0,,Medium,7.0,5.8,55.0,35.0,12.0,,Tolerant,-3.0,Late Spring,No Known Source,Medium,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,,No
Calydorea coelestina,FACW,,,FACW,,,,,,,Enchanting Violet-Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calypso bulbosa,,FAC,,,FACW,,FACW,FACW,FACU,FAC,Fairy-Slipper Orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptocarpus vialis,FAC,FAC,,FAC,FAC,FAC,FAC,FACU,,,Straggler Daisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptranthes krugii,,,FACW,,,,,,,,Limoncillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptranthes luquillensis,,,OBL,,,,,,,,Luquillo Forest Lidflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptranthes portoricensis,,,OBL,,,,,,,,Puerto Rico Lidflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptranthes triflora,,,FACW,,,,,,,,Three-Blossom Lidflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptridium roseum,,FACU,,,FACU,,,,FACU,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptronoma rivalis,,,OBL,,,,,,,,Puerto Rico Manac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calystegia sepium,FAC,FAC,,FAC,FAC,,FAC,FAC,FAC,FAC,Hedge False Bindweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camassia leichtlinii,,FACW,,,,,,,FACW,,Large Camas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camassia quamash,,FACW,,,,,,,FACW,,Small Camas,28339.0,CAQU2,0.0,28339.0,False,False,False,False,False,False,False,False,False,False,11.0,caqu2_001_tvp.jpg,0.0,False,False,0.0,False,False,Camassia quamash (Pursh) Greene,Spring and Summer,No,No,Blue,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Moderate,,2.3,No,No,Moderate,No,No,Erect,,Yes,Yes,Yes,Medium,Yes,,Medium,110.0,,High,7.0,5.7,55.0,16.0,10.0,,Tolerant,-28.0,Mid Spring,Routinely Available,Low,Spring,Spring,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Slow,Medium,Slow,No
Camassia scilloides,FACW,,,FAC,FAC,,FAC,FAC,,,Atlantic Camas,28358.0,CASC5,0.0,28358.0,False,False,False,False,False,False,False,False,False,False,12.0,casc5_001_thp.jpg,0.0,False,False,0.0,False,False,Camassia scilloides (Raf.) Cory,Spring and Summer,No,No,Blue,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Moderate,,2.5,No,No,Moderate,No,No,Erect,,No,Yes,Yes,Low,Yes,Low,Medium,100.0,,Medium,6.5,4.2,55.0,30.0,10.0,,Tolerant,-28.0,Mid Spring,Routinely Available,Low,Spring,Spring,No,No,Yes,No,No,No,Yes,No,No,No,Slow,Medium,Slow,No
Camelina alyssum,,FACU,,,FACU,,FACU,,FACU,,Madwort False Flax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camelina microcarpa,FACU,FACU,,FACU,UPL,,FACU,UPL,FACU,,Little-Pod False Flax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camelina sativa,FACU,FACU,,UPL,FACU,,FACU,FACU,FACU,UPL,Gold-of-Pleasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula aparinoides,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Marsh Bellflower,41983.0,CAAP2,0.0,41983.0,False,False,False,False,False,False,False,False,False,False,7.0,caap2_002_thp.jpg,0.0,False,False,0.0,False,False,Campanula aparinoides Pursh,Spring and Summer,No,No,White,Yes,Green,Moderate,Porous,Fine,Brown,Yes,Rhizomatous,Moderate,,2.0,No,No,Short,No,No,Decumbent,,Yes,Yes,Yes,High,No,Low,Medium,140.0,,High,7.5,6.0,60.0,20.0,8.0,,Intolerant,-38.0,Late Spring,No Known Source,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,No,No,Slow,Low,Slow,No
Campanula californica,,OBL,,,,,,,OBL,,Swamp Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula floridana,OBL,,,,,,,,,,Florida Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula lasiocarpa,,,,,,,,,FACU,UPL,Alaska Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula parryi,,FACU,,,FAC,,,,FAC,,Parry's Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula robinsiae,FACW,,,,,,,,,,Robins' Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula rotundifolia,FACU,FACU,,FACU,FAC,,FACU,FACU,FACU,UPL,Bluebell-of-Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula scouleri,,FACU,,,,,,,UPL,UPL,Pale Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula uniflora,,FAC,,,,,,,FAC,UPL,Arctic Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula wilkinsiana,,FACW,,,,,,,FACW,,Wilkins' Bellflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanulastrum americanum,FAC,,,FACU,FAC,,FAC,FAC,,,American-Bellflower,42055.0,CAAM18,0.0,42055.0,False,False,False,False,False,False,False,False,False,False,9.0,caam18_002_tvp.jpg,0.0,False,False,0.0,False,False,Campanulastrum americanum (L.) Small,"Spring, Summer, Fall",No,No,Blue,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Rapid,,6.0,No,No,,No,No,Erect,,Yes,Yes,Yes,Medium,No,Low,Medium,160.0,,Medium,7.5,5.5,60.0,30.0,8.0,,Tolerant,52.0,Summer,Contracting Only,Low,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,Medium,,No
Campsis radicans,FAC,FACU,,FAC,FACU,,FACU,FAC,FACU,,Trumpet-Creeper,49184.0,CARA2,0.0,49184.0,False,False,False,False,False,False,False,False,False,False,22.0,cara2_001_tvp.jpg,0.0,False,False,0.0,False,False,Campsis radicans (L.) Seem. ex Bureau,Spring and Summer,No,Yes,Red,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,,2.0,No,No,Long,No,Yes,Climbing,,Yes,No,Yes,,Yes,High,Low,165.0,,Low,6.8,4.9,60.0,32.0,14.0,,Intolerant,-13.0,Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,High,Moderate,Yes
Campyloneurum costatum,FAC,,UPL,,,,,,,,Tailed Strap Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campyloneurum repens,,,FACW,,,,,,,,Creeping Strap Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadanthus modestus,,FACW,,,FAC,,FAC,FAC,FACW,FAC,Canada-Aster,33064.0,CAMO32,0.0,33064.0,False,False,False,False,False,False,False,False,False,False,1.0,asmo3_001_tvd.jpg,0.0,False,False,0.0,False,False,Canadanthus modestus (Lindl.) G.L. Nesom,Spring and Summer,No,Yes,Purple,Yes,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,,3.0,No,No,Short,No,No,Erect,,No,No,Yes,,No,Medium,Low,90.0,,Medium,7.5,5.7,40.0,16.0,10.0,,Intolerant,-38.0,Summer,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Slow,Low,Moderate,No
Cananga odorata,,,UPL,,,FACU,,,,,Perfumetree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canavalia cathartica,,,,,,FACU,,,,,Maunaloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canavalia rosea,FAC,,FAC,,FAC,,,,,,Bay-Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canna X generalis,FACW,,,OBL,OBL,,,FACW,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canna flaccida,OBL,OBL,,OBL,OBL,,,,,,Bandanna-of-the-Everglades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canna glauca,OBL,,OBL,OBL,,,,,,,Brazilian Arrow-Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canna indica,FACW,,FAC,FACW,FACW,FACU,,,,,Indian-Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canna jaegeriana,,,FAC,,,,,,,,Caribbean Canna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantinoa mutabilis,FAC,,,FAC,,,,,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caperonia castaneifolia,FACW,,,,,,,,,,Chestnut-Leaf False Croton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caperonia palustris,FACW,,OBL,,FACW,,,,,,Sacatrapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capraria biflora,FACW,,FAC,,FACW,,,,,,Goatweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capraria mexicana,FAC,,,,FAC,,,,,,Mexican Goatweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capsella bursa-pastoris,FACU,FACU,,FACU,FACU,UPL,FACU,FACU,FACU,FACU,Shepherd's-Purse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine X anomala,,,,FACU,,,,FACU,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine X incisa,,,,FACU,,,,FACU,,,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine angulata,,FACW,,,,,,,FACW,FACW,Seaside Bittercress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine angustata,FAC,,,FACU,,,FAC,FACU,,,Slender Toothwort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine bellidifolia,,FAC,,,,,,FACW,FAC,FAC,Alpine Bittercress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine blaisdellii,,,,,,,,,,FACW,_?_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine breweri,,FACW,,,FACW,,,,FACW,,Sierran Bittercress,62403.0,CABRB,0.0,62403.0,False,False,False,False,False,False,False,False,False,False,0.0,,0.0,False,False,0.0,False,False,Cardamine breweri S. Watson var. breweri,Spring and Summer,No,No,White,Yes,Green,Porous,Porous,Medium,Black,No,Rhizomatous,Moderate,,1.8,No,No,Moderate,No,No,Erect,,No,No,Yes,Medium,No,,Medium,130.0,,Medium,7.0,5.6,55.0,16.0,10.0,,Tolerant,-18.0,Late Spring,No Known Source,High,Spring,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,High,Moderate,No
Cardamine bulbosa,OBL,,,OBL,OBL,,OBL,OBL,,,Bulbous Bittercress,62414.0,CABU3,0.0,62414.0,False,False,False,False,False,False,False,False,False,False,7.0,cabu3_002_tvp.jpg,0.0,False,False,0.0,False,False,"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns &amp; Poggenb.",Spring,No,No,White,Yes,Green,Porous,Porous,Medium,Black,No,Single Crown,Rapid,,1.4,No,No,Moderate,No,No,Erect,,No,Yes,Yes,Medium,No,,Medium,90.0,,Medium,6.8,5.0,55.0,30.0,10.0,,Tolerant,-33.0,Mid Spring,No Known Source,High,Spring,Spring,No,No,Yes,No,No,No,Yes,No,No,No,Moderate,High,,No
Cardamine clematitis,FAC,,,OBL,,,,,,,Small Mountain Bittercress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine concatenata,FACU,,,FACU,FACU,,FACU,FACU,,,Cut-Leaf Toothwort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine constancei,,FAC,,,,,,,FAC,,Constance's Bittercress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine cordifolia,,FACW,,,OBL,,,,FACW,,Large Mountain Bittercress,62445.0,CACO6,0.0,62445.0,False,False,False,False,False,False,False,False,False,False,5.0,caco6_001_tvp.jpg,0.0,False,False,0.0,False,False,Cardamine cordifolia A. Gray,Spring and Summer,No,No,White,Yes,Green,Porous,Porous,Coarse,Brown,No,Rhizomatous,Moderate,,1.5,No,No,Moderate,No,No,Erect,,Yes,No,Yes,High,No,,Low,100.0,,High,7.5,6.0,30.0,18.0,8.0,,Tolerant,-28.0,Late Spring,No Known Source,High,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,Slow,No
